ANO;MES;MONTH_;QUINCENA;TRIMESTRE;MARCA;LINEA;FAMILIA;MODELO;SERVICIO;SEGMENTO;TAMANO;OBJETIVO;OBJECTIVE;TIPO;COMBUSTIBLE;STATUS;NACIONAL_IMPORT;DEPARTAMENTO;CANTIDAD
2011;1;JANUARY;Primera Quincena;1Q;HYUNDAI;ATOS PRIME GL;ATOS;2010;Público;Automóvil;A;Bajo;Low;SEDAN;;CBU;IMPORTADO;Antioquia;1
2011;1;JANUARY;Primera Quincena;1Q;HYUNDAI;ATOS PRIME GL;ATOS;2010;Público;Automóvil;A;Bajo;Low;SEDAN;;CBU;IMPORTADO;Antioquia;1
2011;1;JANUARY;Primera Quincena;1Q;RENAULT;LOGAN EXPRESSION;LOGAN;2010;Particular;Automóvil;B;Bajo;Low;SEDAN;;CBU;NACIONAL;Bogota D.C.;1
2011;1;JANUARY;Primera Quincena;1Q;RENAULT;STEPWAY;STEPWAY;2010;Particular;Automóvil;B;Medio;Medium;HATCHBACK;;CBU;IMPORTADO;Magdalena;1
2011;1;JANUARY;Primera Quincena;1Q;RENAULT;STEPWAY;STEPWAY;2010;Particular;Automóvil;B;Medio;Medium;HATCHBACK;;CBU;IMPORTADO;Bogota D.C.;1
2011;1;JANUARY;Primera Quincena;1Q;RENAULT;SANDERO EXPRESSION;SANDERO;2010;Particular;Automóvil;B;Bajo;Low;HATCHBACK;;CBU;IMPORTADO;Antioquia;1
2011;1;JANUARY;Primera Quincena;1Q;RENAULT;LOGAN FAMILIER;LOGAN;2010;Particular;Automóvil;B;Bajo;Low;SEDAN;;CBU;NACIONAL;Antioquia;1
2011;1;JANUARY;Primera Quincena;1Q;RENAULT;LOGAN FAMILIER;LOGAN;2010;Particular;Automóvil;B;Bajo;Low;SEDAN;;CBU;NACIONAL;Bogota D.C.;1
2011;1;JANUARY;Primera Quincena;1Q;RENAULT;LOGAN FAMILIER;LOGAN;2010;Particular;Automóvil;B;Bajo;Low;SEDAN;;CBU;NACIONAL;Antioquia;1
2011;1;JANUARY;Primera Quincena;1Q;RENAULT;LOGAN FAMILIER;LOGAN;2010;Particular;Automóvil;B;Bajo;Low;SEDAN;;CBU;NACIONAL;Valle del Cauca;1
2011;1;JANUARY;Primera Quincena;1Q;RENAULT;LOGAN FAMILIER;LOGAN;2010;Particular;Automóvil;B;Bajo;Low;SEDAN;;CBU;NACIONAL;Bogota D.C.;1
2011;1;JANUARY;Primera Quincena;1Q;RENAULT;LOGAN FAMILIER;LOGAN;2010;Particular;Automóvil;B;Bajo;Low;SEDAN;;CBU;NACIONAL;Bogota D.C.;1
